Origin,Destination,All,Night,Day,Evening
5,157,18,0,13,6
5,158,14,0,13,3
5,159,10,0,15,0
5,160,24,0,24,2
5,161,8,0,9,2
5,162,7,0,8,2
5,163,39,1,29,9
5,164,38,0,36,3
5,165,38,1,29,5
5,166,30,2,23,3
5,167,10,0,6,3
5,168,6,0,6,0
5,169,42,0,32,8
5,170,42,2,27,15
5,171,36,0,34,8
5,172,17,0,17,3
5,173,1,0,0,1
5,174,22,4,18,2
5,175,74,5,60,8
5,176,19,1,16,2
5,177,16,0,13,5
5,178,48,0,47,7
5,179,63,0,48,14
5,180,185,3,149,34
5,181,24,0,20,4
5,182,88,2,71,13
5,183,72,1,56,19
5,184,126,7,106,19
5,185,43,1,36,6
5,186,51,0,44,10
5,187,132,1,112,31
5,188,146,6,117,34
5,189,157,6,124,34
5,190,69,1,48,20
5,191,62,0,60,8
5,192,83,4,70,14
5,193,73,4,66,17
5,194,30,0,28,8
5,195,118,8,89,21
5,196,83,2,61,18
5,197,134,8,103,26
5,198,72,1,55,14
5,199,110,5,89,18
5,External,1440,25,1097,318
6,1,8,0,8,0
6,2,108,5,94,24
6,3,100,4,89,21
6,4,107,7,71,33
6,5,150,1,126,32
6,6,174,6,129,45
6,7,112,3,78,31
6,8,20,1,17,4
6,9,9,0,7,2
6,10,10,0,10,0
6,11,28,2,20,6
6,12,3,1,2,0
6,13,40,6,19,17
6,14,8,1,7,0
6,15,5,0,3,2
6,16,5,0,4,1
6,17,1,0,0,1
6,18,3,0,2,1
6,19,15,0,11,4
6,20,12,0,11,2
6,21,4,2,1,1
6,22,5,1,3,1
6,23,10,1,7,3
6,24,6,0,5,1
6,25,5,0,3,2
6,26,6,0,6,0
6,27,6,1,2,3
6,28,6,0,6,2
6,29,7,1,6,0
6,30,58,1,40,16
6,31,63,0,53,11
6,32,14,0,10,3
6,33,55,2,42,14
6,34,7,3,2,2
6,35,19,0,13,4
6,36,8,0,6,2
6,37,36,1,28,9
6,38,6,0,5,1
6,39,3,0,3,0
6,40,7,1,4,1
6,41,0,0,0,0
6,42,18,1,16,3
6,43,3,0,1,1
6,44,7,1,3,3
6,45,4,0,4,0
6,46,34,0,24,11
6,47,31,1,27,5
6,48,214,5,180,42
6,49,19,1,13,8
6,50,13,1,12,3
6,51,3,0,3,0
6,52,22,0,14,9
6,53,13,0,10,2
6,54,0,0,0,0
6,55,0,0,0,0
6,56,0,0,0,0
6,57,0,0,0,0
6,58,2,0,1,1
6,59,1,0,0,1
6,60,0,0,0,0
6,61,14,1,10,3
6,62,2,0,3,1
6,63,6,0,6,1
6,64,0,0,0,0
6,65,5,1,2,2
6,66,4,0,3,1
6,67,3,0,1,2
6,68,4,0,2,2
6,69,3,0,2,2
6,70,0,0,0,1
6,71,1,0,1,0
6,72,2,0,1,1
6,73,10,0,6,4
6,74,8,0,8,1
6,75,13,0,10,3
6,76,3,1,1,1
6,77,6,2,3,1
6,78,30,0,23,7
6,79,3,0,3,0
6,80,6,0,4,0
6,81,10,1,7,2
6,82,1,0,1,0
6,83,2,0,1,1
6,84,4,0,2,2
6,85,0,0,0,0
6,86,4,0,2,1
6,87,1,0,1,0
6,88,4,0,4,0
6,89,3,0,3,0
6,90,20,2,17,1
6,91,5,0,4,1
6,92,13,1,8,4
6,93,10,0,6,4
6,94,25,2,19,6
6,95,24,0,22,3
6,96,70,3,56,10
6,97,33,1,26,8
6,98,16,1,15,5
6,99,76,2,50,30
6,100,9,0,7,2
6,101,14,0,11,4
6,102,7,0,4,3
6,103,8,0,7,1
6,104,10,0,9,1
6,105,3,0,3,0
6,106,0,0,0,0
6,107,3,0,3,0
6,108,3,0,2,1
6,109,5,0,4,1
6,110,5,0,4,1
6,111,5,0,5,0
6,112,6,0,7,0
6,113,4,0,3,1
6,114,4,2,1,1
6,115,0,0,0,0
6,116,9,2,3,4
6,117,4,0,1,3
6,118,0,0,0,0
6,119,1,0,1,0
6,120,1,0,0,1
6,121,2,0,2,0
6,122,5,0,5,0
6,123,3,0,2,1
6,124,5,0,4,1
6,125,11,0,11,0
6,126,3,0,3,0
6,127,8,0,8,1
6,128,3,0,4,0
6,129,1,0,2,0
6,130,6,0,2,4
6,131,37,0,28,9
6,132,1,0,1,0
6,133,8,0,6,3
6,134,3,0,2,1
6,135,3,0,3,0
6,136,10,0,4,5
6,137,20,0,16,3
6,138,8,0,7,0
6,139,6,0,2,4
6,140,30,0,33,2
6,141,8,1,6,1
6,142,0,0,0,0
6,143,3,0,2,1
6,144,0,0,0,0
6,145,6,0,6,0
6,146,8,0,7,1
6,147,1,0,1,0
6,148,10,0,8,2
6,149,7,0,6,1
6,150,6,0,6,0
6,151,1,0,1,0
6,152,1,0,1,0
6,153,7,0,6,1
6,154,1,0,1,0
6,155,2,0,1,0
6,156,2,0,2,0
6,157,1,0,1,0
6,158,0,0,0,0
6,159,1,0,0,1
