id,region,nodes,osmids,count
577,45,80,36,12
578,45,82,2225,12
579,45,532,280,12
580,45,533,505,12
581,45,1070,601,12
582,45,1073,602,12
583,45,1074,603,12
584,45,1075,605,12
585,45,1076,604,12
586,45,1077,2219,12
587,45,2372,1841,12
588,45,2486,2224,12
589,46,1561,907,14
590,46,1562,908,14
591,46,1563,958,14
592,46,1564,957,14
593,46,1565,909,14
594,46,1566,910,14
595,46,1567,938,14
596,46,1568,911,14
597,46,1598,936,14
598,46,1599,937,14
599,46,1618,1256,14
600,46,1619,959,14
601,46,1923,2423,14
602,46,2469,2422,14
603,47,897,934,16
604,47,899,922,16
605,47,1576,917,16
606,47,1577,918,16
607,47,1578,2229,16
608,47,1580,919,16
609,47,1585,1324,16
610,47,1590,928,16
611,47,1591,929,16
612,47,1592,930,16
613,47,1593,931,16
614,47,1594,932,16
615,47,1595,2143,16
616,47,1596,933,16
617,47,2001,2437,16
618,47,2487,2228,16
619,48,1306,741,12
620,48,1308,742,12
621,48,1310,743,12
622,48,1311,744,12
623,48,1312,2438,12
624,48,1313,1056,12
625,48,1603,942,12
626,48,1604,945,12
627,48,1607,1052,12
628,48,1608,1054,12
629,48,1717,2439,12
630,48,1718,1053,12
631,49,627,2076,12
632,49,628,334,12
633,49,629,1572,12
634,49,630,2344,12
635,49,631,335,12
636,49,632,504,12
637,49,633,336,12
638,49,938,2272,12
639,49,1433,824,12
640,49,1586,924,12
641,49,1587,925,12
642,49,2446,2191,12
643,50,621,331,12
644,50,622,381,12
645,50,624,332,12
646,50,625,375,12
647,50,626,333,12
648,50,674,372,12
649,50,712,2192,12
650,50,714,376,12
651,50,715,2434,12
652,50,716,377,12
653,50,717,378,12
654,50,2402,2230,12
655,51,529,279,12
656,51,531,607,12
657,51,721,1344,12
658,51,1246,700,12
659,51,1252,2165,12
660,51,1253,701,12
661,51,1255,1722,12
662,51,1256,1838,12
663,51,1415,807,12
664,51,2369,1837,12
665,51,2370,1839,12
666,51,2371,1840,12
667,52,524,277,12
668,52,525,1153,12
669,52,526,1151,12
670,52,609,325,12
671,52,864,2098,12
672,52,901,513,12
673,52,946,1180,12
674,52,1794,1627,12
675,52,1830,1152,12
676,52,1831,1625,12
677,52,1832,2097,12
678,52,2376,2296,12
679,53,179,560,12
680,53,534,281,12
681,53,1021,557,12
682,53,1623,961,12
683,53,1625,2299,12
684,53,1626,1933,12
685,53,1627,962,12
686,53,1852,1195,12
687,53,1853,1570,12
688,53,1857,1199,12
689,53,2404,2138,12
690,53,2445,2137,12
691,54,70,31,12
692,54,71,2320,12
693,54,72,2429,12
694,54,152,73,12
695,54,167,82,12
696,54,168,2431,12
697,54,2403,2430,12
698,54,2495,2287,12
699,54,2543,2453,12
700,54,2544,2428,12
701,54,2545,2432,12
702,54,2546,2454,12
703,55,66,29,12
704,55,67,2581,12
705,55,68,2070,12
706,55,69,30,12
707,55,151,75,12
708,55,157,2319,12
709,55,158,707,12
710,55,1064,1998,12
711,55,1065,596,12
712,55,1066,1944,12
713,55,2397,1906,12
714,55,2424,2010,12
715,56,663,351,12
716,56,664,352,12
717,56,665,1605,12
718,56,666,1664,12
719,56,667,353,12
720,56,668,354,12
721,56,669,2032,12
722,56,1062,595,12
723,56,1063,2270,12
724,56,2249,1995,12
725,56,2266,1665,12
726,56,2485,2212,12
727,57,60,26,16
728,57,61,1591,16
729,57,62,2330,16
730,57,1055,590,16
731,57,1056,591,16
732,57,1057,2254,16
733,57,1058,592,16
734,57,1663,988,16
735,57,1664,1615,16
736,57,1841,1166,16
737,57,1842,1167,16
738,57,2209,1816,16
739,57,2225,1616,16
740,57,2227,1617,16
741,57,2354,2452,16
742,57,2501,2041,16
743,58,63,27,12
