u,v,key,name,highway,ZMax44mm,ZMax54mm,ZMax71mm,ZMax86mm,ZMax20mm,ZMax198mm,flooded
2114,2379,0,,trunk_link,0.12544168082114598,0.17555202093955402,0.25054181662436803,,0.0,,86
76,81,0,Kehä III,trunk,0.030252456665038997,0.030252456665038997,0.030252456665038997,0.030252456665038997,0.030252456665038997,0.030252456665038997,
76,2319,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
76,707,0,Länsisalmentie,tertiary,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,
81,77,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
81,1533,0,Vuosaaren satamatie,trunk,0.0,0.0,0.0,0.0,0.0,0.09125912289616699,
2319,1906,0,,motorway_link,0.000265121459961,0.000265121459961,0.000265121459961,0.000265121459961,0.000265121459961,0.000265121459961,
2319,74,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
707,788,0,Sotungintie,tertiary,,,,,0.270051745239199,,44
707,350,0,Sotungintie,tertiary,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,
707,76,0,Länsisalmentie,tertiary,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,0.16509597088480998,
77,78,0,Itäväylä,primary,0.0,0.0,0.0,0.0,0.0,0.0,
77,349,0,Itäväylä,primary,0.0,0.0,0.0,0.0,0.0,0.0,
78,1670,0,Itäväylä,primary,0.0,0.0,0.0,0.0,0.0,0.0,
78,1533,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
78,77,0,Itäväylä,primary,0.05616569519043001,0.05616569519043001,0.05616569519043001,0.05616569519043001,0.05616569519043001,0.05616569519043001,
349,77,0,Itäväylä,primary,0.0,0.0,0.0,0.0,0.0,0.0,
349,2090,0,Itäväylä,primary,0.18010401725769,0.18010401725769,0.18010401725769,0.18010401725769,0.18010401725769,0.18010401725769,
1670,79,0,Itäväylä,primary,0.12438452047184599,0.12438452047184599,0.12438452047184599,0.12438452047184599,0.12438452047184599,0.12438452047184599,
1533,1682,0,Vuosaaren satamatie,trunk,,,,,,,20
79,1606,0,Itäväylä,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
79,80,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
79,78,0,Itäväylä,primary,0.0,0.0,0.0,0.0,0.0,0.0,
1606,350,0,"['Uusi Porvoontie', 'Itäväylä']",secondary,0.036948164173883,0.036948164173883,0.036948164173883,0.036948164173883,0.010256141424179,0.060606956481934,
